Airport,Count,Latitude,Longitude,Altitude,daylight_saving_offset,standard_offset,Tz database timezone,Country,City,Station_ID,Distance_km,2018_MB,2019_MB,2020_MB,2021_MB,2022_MB,2023_MB,2024_MB,match_batch
SBP,64117,35.23680115,-120.6419983,212,-7,-8,America/Los_Angeles,United States,San Luis Obispo,USW00093206,0.246835854,7,8,7,7,7,8,4,
SBY,21252,38.34049988,-75.51029968,52,-4,-5,America/New_York,United States,Salisbury,USW00093720,0.264408928,8,8,8,8,8,8,4,
SCC,8460,70.19470215,-148.4649963,65,-8,-9,America/Anchorage,United States,Deadhorse,USW00027406,0.676706406,9,8,9,9,8,8,4,
SCE,46479,40.84930038,-77.84870148,1239,-4,-5,America/New_York,United States,State College Pennsylvania,USW00054739,0.134262182,8,9,8,8,9,8,4,
SCK,9285,37.89419937,-121.237999,33,-7,-8,America/Los_Angeles,United States,Stockton,USW00023237,1.121688507,7,7,7,7,7,7,4,
SDF,317458,38.1744,-85.736,501,-4,-5,America/New_York,United States,Louisville,USW00093821,0.570971116,11,10,10,10,10,10,5,
SEA,2320583,47.449001,-122.308998,433,-7,-8,America/Los_Angeles,United States,Seattle,USW00024233,0.628209728,8,8,8,8,8,8,4,
SFB,127847,28.77759933,-81.23750305,55,-4,-5,America/New_York,United States,Sanford,USW00012854,0.627902378,7,7,7,7,7,7,3,
SFO,1809715,37.61899948,-122.375,13,-7,-8,America/Los_Angeles,United States,San Francisco,USW00023234,0.833508626,8,8,8,8,8,8,4,
SGF,123401,37.24570084,-93.38860321,1268,-5,-6,America/Chicago,United States,Springfield,USW00013995,1.57020615,10,10,10,10,9,9,5,
SGU,39169,37.036389,-113.510306,2941,-6,-7,America/Denver,United States,Saint George,USW00023186,10.65193019,5,5,5,5,5,6,0.101,4
SHD,6760,38.26380157,-78.89640045,1201,-4,-5,America/New_York,United States,Weyers Cave,USW00093760,0.022374601,15,15,15,15,15,15,7,4
SHR,5883,44.76919937,-106.9800034,4021,-6,-7,America/Denver,United States,Sheridan,USW00024029,1.090476211,8,8,8,8,8,8,4,
SHV,77080,32.446602,-93.8256,258,-5,-6,America/Chicago,United States,Shreveport,USW00013957,1.556905335,7,7,8,9,8,9,0.133,
SIT,16812,57.04710007,-135.3619995,21,-8,-9,America/Anchorage,United States,Sitka,USW00025333,0.300752004,8,8,9,9,9,8,4,4
SJC,698358,37.362598,-121.929001,62,-7,-8,America/Los_Angeles,United States,San Jose,USW00023293,0.540472472,6,6,6,6,6,6,3,
SJT,19947,31.35770035,-100.4960022,1919,-5,-6,America/Chicago,United States,San Angelo,USW00023034,1.555074232,9,8,8,9,8,8,5,
SJU,376408,18.43939972,-66.00180054,9,-4,-4,America/Puerto_Rico,Puerto Rico,San Juan,RQW00011641,1.203067972,7,7,8,8,8,8,4,
SLC,1494956,40.78839874,-111.9779968,4227,-6,-7,America/Denver,United States,Salt Lake City,USW00024127,2.260620924,9,9,9,9,9,9,4,
SLN,9949,38.79100037,-97.65219879,1288,-5,-6,America/Chicago,United States,Salina,USW00003919,1.396571158,7,7,7,7,6,6,3,
SMF,668623,38.69540024,-121.5910034,27,-7,-8,America/Los_Angeles,United States,Sacramento,USW00093225,0.660757998,6,6,6,6,6,6,3,4
SMX,2330,34.89889908,-120.4570007,261,-7,-8,America/Los_Angeles,United States,Santa Maria,USW00023273,0.681401128,8,9,9,9,8,9,4,
SNA,548666,33.67570114,-117.8679962,56,-7,-8,America/Los_Angeles,United States,Santa Ana,USW00093184,0.44592026,7,7,7,7,7,7,3,
SPI,17782,39.84410095,-89.67790222,598,-5,-6,America/Chicago,United States,Springfield,USW00093822,0.530314966,8,8,8,8,7,7,4,
SPN,6016,15.119,145.729004,215,10,10,Pacific/Saipan,Northern Mariana Islands,Saipan,CQW00041418,1.346836524,7,7,6,6,7,7,3,
SPS,13336,33.9888,-98.491898,1019,-5,-6,America/Chicago,United States,Wichita Falls,USW00013966,1.135978374,8,8,8,7,7,8,4,
SRQ,163549,27.39539909,-82.55439758,30,-4,-5,America/New_York,United States,Sarasota,USW00012871,0.784168601,7,7,7,7,7,7,3,
STC,1824,45.54660034,-94.05989838,1031,-5,-6,America/Chicago,United States,Saint Cloud,USW00014926,0.693611552,8,8,8,8,8,8,0.126,
STL,844554,38.748697,-90.370003,618,-5,-6,America/Chicago,United States,St. Louis,USW00013994,0.510268941,10,10,10,10,9,9,5,
STS,50538,38.50899887,-122.8130035,128,-7,-8,America/Los_Angeles,United States,Santa Rosa,USW00023213,0.62188129,8,8,7,8,8,8,3,
STT,61679,18.33729935,-64.9733963,23,-4,-4,America/St_Thomas,Virgin Islands,St. Thomas,VQW00011640,0.705086991,6,6,6,6,6,7,3,
STX,14830,17.70190048,-64.79859924,74,-4,-4,America/St_Thomas,Virgin Islands,St. Croix Island,VQW00011624,1.494598416,6,6,7,7,7,7,3,
SUN,25607,43.50439835,-114.2959976,5318,-6,-7,America/Denver,United States,Hailey,USW00094161,0.586149154,8,8,8,8,8,9,4,
SUX,12176,42.40259933,-96.38439941,1098,-5,-6,America/Chicago,United States,Sioux City,USW00014943,1.278767206,9,9,9,9,8,9,4,
SWF,18063,41.5041008,-74.10479736,491,-4,-5,America/New_York,United States,Newburgh,USW00004789,13.33687347,8,8,7,8,7,8,4,4
SWO,9453,36.16120148,-97.08570099,1000,-5,-6,America/Chicago,United States,Stillwater,USW00003965,0.362683146,7,7,7,7,7,7,3,4
SYR,197229,43.11119843,-76.10630035,421,-4,-5,America/New_York,United States,Syracuse,USW00014771,0.195679472,10,10,10,10,10,10,5,
TBN,1262,37.74160004,-92.14070129,1159,-5,-6,America/Chicago,United States,Fort Leonardwood,USW00003938,1.241320415,8,8,9,8,8,7,4,
TLH,75469,30.39649963,-84.35030365,81,-4,-5,America/New_York,United States,Tallahassee,USW00093805,2.059876582,8,8,8,8,8,9,4,
TOL,17123,41.58679962,-83.80780029,683,-4,-5,America/New_York,United States,Toledo,USW00094830,0.208783355,9,9,9,9,9,9,5,
TPA,956828,27.97550011,-82.53320313,26,-4,-5,America/New_York,United States,Tampa,USW00012842,1.508352975,8,7,7,7,7,7,0.12,4
TRI,51466,36.475201,-82.407401,1519,-4,-5,America/New_York,United States,BRISTOL,USW00013877,0.910844217,8,8,8,8,8,8,0.127,
TTN,29521,40.27669907,-74.81349945,213,-4,-5,America/New_York,United States,Trenton,USW00014792,0.1969253,9,8,8,8,8,8,3,
TUL,218452,36.19839859,-95.88809967,677,-5,-6,America/Chicago,United States,Tulsa,USW00013968,0.881638125,9,9,8,8,8,8,4,
TUS,226175,32.11610031,-110.9410019,2643,-7,-7,America/Phoenix,United States,Tucson,USW00023160,2.259135447,7,7,7,7,7,7,4,
TVC,67098,44.74140167,-85.5821991,624,-4,-5,America/New_York,United States,Traverse City,USW00014850,1.173838283,7,8,7,7,8,7,3,
TWF,11569,42.4818,-114.487999,4154,-6,-7,America/Denver,United States,Twin Falls,USW00094178,0.933598781,6,7,6,7,7,7,3,
TXK,14286,33.45370102,-93.99099731,390,-5,-6,America/Chicago,United States,Texarkana,USW00013977,0.398946389,7,7,8,7,7,7,3,
TYR,17094,32.35409927,-95.40239716,544,-5,-6,America/Chicago,United States,Tyler,USW00013972,0.518758499,7,7,7,7,7,7,3,
TYS,227062,35.81100082,-83.9940033,981,-4,-5,America/New_York,United States,Knoxville,USW00013891,1.081705607,8,8,8,8,8,8,0.13,
UIN,3156,39.94269943,-91.19460297,768,-5,-6,America/Chicago,United States,Quincy,USW00093989,0.636381408,7,7,7,7,7,7,4,
USA,13737,35.387798,-80.709099,705,-4,-5,America/New_York,United States,Concord,USW00063801,0.272576464,8,6,8,8,8,8,4,
VCT,4729,28.8526001,-96.91850281,115,-5,-6,America/Chicago,United States,Victoria,USW00012912,1.569198556,9,9,9,10,9,9,0.134,
VEL,6677,40.4408989,-109.5100021,5278,-6,-7,America/Denver,United States,Vernal,USW00094030,0.340715417,6,7,6,6,6,7,3,
VLD,12821,30.78249931,-83.27670288,203,-4,-5,America/New_York,United States,Valdosta,USW00093845,0.72748714,8,8,8,8,8,8,4,
VPS,122656,30.4832,-86.525398,87,-5,-6,America/Chicago,United States,Valparaiso,USW00013858,0.835215285,7,10,10,10,10,9,5,
WRG,9664,56.48429871,-132.3699951,49,-8,-9,America/Anchorage,United States,Wrangell,USW00025338,1.631986255,6,6,6,6,6,9,4,
WYS,4056,44.68840027,-111.1179962,6649,-6,-7,America/Denver,United States,West Yellowstone,USW00094163,0.576010715,16,15,13,8,7,7,2,4
XNA,166936,36.281898,-94.306801,1287,-5,-6,America/Chicago,United States,Bentonville,USW00053922,0.95927798,8,8,8,7,7,7,4,
XWA,13775,48.259722,-103.750556,604,-5,-6,America/Chicago,United States,Williston,USW00000294,63.47921665,14,15,14,15,15,15,7,4
YAK,9652,59.50329971,-139.6600037,33,-8,-9,America/Anchorage,United States,Yakutat,USW00025339,1.173860027,12,12,13,13,12,5,0.123,4
YKM,11074,46.56819916,-120.5439987,1099,-7,-8,America/Los_Angeles,United States,Yakima,USW00024243,0.839280513,7,7,7,7,7,7,4,
YNG,4,41.26070023,-80.67910004,1192,-4,-5,America/New_York,United States,Youngstown,USW00014852,0.810263158,9,9,9,9,9,9,4,
YUM,22136,32.65660095,-114.6060028,213,-7,-7,America/Phoenix,United States,Yuma,USW00003145,1.242193733,5,5,5,5,5,5,3,
