Airport,Count,Latitude,Longitude,Altitude,daylight_saving_offset,standard_offset,Tz database timezone,Country,City,Station_ID,Distance_km,2018_MB,2019_MB,2020_MB,2021_MB,2022_MB,2023_MB,2024_MB
MLU,31614,32.51089859,-92.03769684,79,-5,-6,America/Chicago,United States,Monroe,USW00013942,0.8915534787243944,8.0,8.0,8.0,8.0,7.0,7.0,3.0
DHN,13724,31.32130051,-85.44960022,401,-5,-6,America/Chicago,United States,Dothan,,,,,,,,,
SHV,77080,32.446602,-93.8256,258,-5,-6,America/Chicago,United States,Shreveport,USW00013957,1.5569053351687636,7.0,7.0,8.0,9.0,8.0,9.0,0.133
CMX,9530,47.16839981,-88.4890976,1095,-4,-5,America/New_York,United States,Hancock,USW00014858,0.6923302285289057,9.0,9.0,9.0,9.0,10.0,9.0,4.0
EAU,6731,44.86579895,-91.48429871,913,-5,-6,America/Chicago,United States,Eau Claire,USW00014991,0.31666462142382257,8.0,8.0,7.0,8.0,8.0,8.0,3.0
GCC,9388,44.34889984,-105.5390015,4365,-6,-7,America/Denver,United States,Gillette,USW00094023,1.0446781684107513,8.0,8.0,7.0,7.0,7.0,7.0,3.0
CKB,9391,39.29660034,-80.22810364,1217,-4,-5,America/New_York,United States,Clarksburg,USW00003802,0.7197018601328086,9.0,8.0,9.0,9.0,9.0,9.0,4.0
RKS,7490,41.5942,-109.065001,6764,-6,-7,America/Denver,United States,Rock Springs,USW00024027,1.0187698524913555,7.0,7.0,7.0,7.0,7.0,7.0,0.109
PUB,7454,38.28910065,-104.4970016,4726,-6,-7,America/Denver,United States,Pueblo,USW00093058,0.7717476452750623,7.0,8.0,8.0,9.0,9.0,9.0,5.0
MKG,6522,43.16949844,-86.23819733,629,-4,-5,America/New_York,United States,Muskegon,USW00014840,0.206849638751652,10.0,10.0,9.0,9.0,10.0,10.0,5.0
CGI,6635,37.22529984,-89.57080078,342,-5,-6,America/Chicago,United States,Cape Girardeau,USW00003935,0.6929677444511626,8.0,8.0,8.0,8.0,7.0,7.0,4.0
UIN,3156,39.94269943,-91.19460297,768,-5,-6,America/Chicago,United States,Quincy,USW00093989,0.6363814077509192,7.0,7.0,7.0,7.0,7.0,7.0,4.0
SPI,17782,39.84410095,-89.67790222,598,-5,-6,America/Chicago,United States,Springfield,USW00093822,0.5303149658552687,8.0,8.0,8.0,8.0,7.0,7.0,4.0
DVL,8591,48.11420059,-98.90879822,1456,-5,-6,America/Chicago,United States,Devils Lake,USW00094928,0.7116168201778101,7.0,7.0,7.0,6.0,7.0,7.0,3.0
JMS,11588,46.92969894,-98.67819977,1500,-5,-6,America/Chicago,United States,Jamestown,USW00014919,0.7415097275678788,8.0,8.0,7.0,7.0,8.0,7.0,3.0
LAR,8245,41.31209946,-105.6750031,7284,-6,-7,America/Denver,United States,Laramie,USW00024022,0.5120057841111147,7.0,7.0,7.0,7.0,7.0,7.0,3.0
HYS,11338,38.84220123,-99.27320099,1999,-5,-6,America/Chicago,United States,Hays,,,,,,,,,
PAH,8363,37.06079865,-88.77380371,410,-5,-6,America/Chicago,United States,PADUCAH,USW00003816,0.8495335072785013,9.0,8.0,9.0,8.0,8.0,8.0,4.0
ACV,22263,40.978101,-124.109,221,-7,-8,America/Los_Angeles,United States,Arcata CA,USW00024283,0.3625746030321438,9.0,9.0,10.0,10.0,10.0,9.0,4.0
OTH,4673,43.417099,-124.2460022,17,-7,-8,America/Los_Angeles,United States,North Bend,USW00024284,0.4647536341364449,8.0,8.0,9.0,9.0,9.0,8.0,4.0
CWA,32994,44.77759933,-89.66680145,1277,-5,-6,America/Chicago,United States,Wassau,USW00094890,0.633552015994012,8.0,8.0,8.0,8.0,8.0,8.0,4.0
RDD,17561,40.50899887,-122.2929993,505,-7,-8,America/Los_Angeles,United States,Redding,USW00024257,0.752552128226461,8.0,8.0,8.0,8.0,8.0,8.0,4.0
COU,29248,38.81809998,-92.21959686,889,-5,-6,America/Chicago,United States,Columbia,USW00003945,0.4456599079418043,7.0,7.0,8.0,8.0,7.0,7.0,4.0
FSM,20269,35.33660126,-94.36740112,469,-5,-6,America/Chicago,United States,Fort Smith,USW00013964,0.41308461086483,10.0,10.0,10.0,10.0,10.0,9.0,4.0
LRD,30738,27.54380035,-99.46160126,508,-5,-6,America/Chicago,United States,Laredo,USW00012907,1.2678877166077205,7.0,6.0,7.0,7.0,7.0,7.0,0.11
CLL,22566,30.58860016,-96.36380005,320,-5,-6,America/Chicago,United States,College Station,USW00000438,14.41806901594898,15.0,15.0,15.0,15.0,15.0,15.0,7.0
LCH,24027,30.12610054,-93.22329712,15,-5,-6,America/Chicago,United States,Lake Charles,USI0000KLCH,0.0002839110081743,8.0,8.0,8.0,9.0,8.0,8.0,4.0
AEX,34834,31.32740021,-92.54979706,89,-5,-6,America/Chicago,United States,Alexandria,USW00093915,1.164895338409536,8.0,8.0,8.0,8.0,8.0,7.0,4.0
HOB,7800,32.6875,-103.2170029,3661,-6,-7,America/Denver,United States,Hobbs,USW00093034,0.7694410795931717,9.0,9.0,9.0,9.0,9.0,9.0,4.0
DBQ,7128,42.40200043,-90.70950317,1077,-5,-6,America/Chicago,United States,Dubuque IA,USW00094908,0.4118048029361654,10.0,10.0,10.0,9.0,9.0,9.0,5.0
ACT,19307,31.61129951,-97.23049927,516,-5,-6,America/Chicago,United States,Waco,USW00013959,0.7823823729440165,8.0,8.0,8.0,8.0,7.0,8.0,4.0
TYR,17094,32.35409927,-95.40239716,544,-5,-6,America/Chicago,United States,Tyler,USW00013972,0.5187584986185416,7.0,7.0,7.0,7.0,7.0,7.0,3.0
MHK,20155,39.14099884,-96.67079926,1057,-5,-6,America/Chicago,United States,Manhattan,USW00053974,6.775073241343952,46.0,46.0,46.0,46.0,46.0,46.0,22.0
JLN,11143,37.15179825,-94.49829865,981,-5,-6,America/Chicago,United States,Joplin,USW00013987,0.2700882080953246,7.0,7.0,7.0,7.0,7.0,7.0,3.0
CMI,26828,40.03919983,-88.27809906,755,-5,-6,America/Chicago,United States,Champaign,USW00094870,0.7738911096533703,8.0,8.0,8.0,8.0,7.0,8.0,4.0
SJT,19947,31.35770035,-100.4960022,1919,-5,-6,America/Chicago,United States,San Angelo,USW00023034,1.5550742324252158,9.0,8.0,8.0,9.0,8.0,8.0,5.0
LAW,15408,34.56769943,-98.41660309,1110,-5,-6,America/Chicago,United States,Lawton,USW00013945,9.256016510813525,7.0,8.0,7.0,7.0,7.0,7.0,3.0
SWO,9453,36.16120148,-97.08570099,1000,-5,-6,America/Chicago,United States,Stillwater,USW00053926,4.810036457696442,46.0,46.0,46.0,46.0,45.0,46.0,0.099
BPT,11015,29.95079994,-94.02069855,15,-5,-6,America/Chicago,United States,Beaumont,USW00012917,0.5354893535494103,9.0,9.0,9.0,10.0,9.0,9.0,5.0
SUX,12176,42.40259933,-96.38439941,1098,-5,-6,America/Chicago,United States,Sioux City,USW00014943,1.278767205649092,9.0,9.0,9.0,9.0,8.0,9.0,4.0
PBG,11182,44.65090179,-73.4681015,234,-4,-5,America/New_York,United States,Plattsburgh,USW00064776,1.3595473720927982,7.0,7.0,7.0,7.0,7.0,7.0,4.0
DIK,8020,46.79740143,-102.802002,2592,-6,-7,America/Denver,United States,Dickinson,USW00024012,0.4468581512731581,8.0,9.0,8.0,8.0,8.0,8.0,4.0
ADQ,9939,57.75,-152.4940033,78,-8,-9,America/Anchorage,United States,Kodiak,USW00025501,0.362621176325807,11.0,11.0,10.0,10.0,11.0,11.0,6.0
BET,9670,60.77980042,-161.8379974,126,-8,-9,America/Anchorage,United States,Bethel,USW00026615,0.7450019603307022,11.0,10.0,10.0,11.0,10.0,11.0,6.0
BRW,6544,71.285402,-156.766008,44,-8,-9,America/Anchorage,United States,Barrow,USW00027502,0.9677400958251596,11.0,11.0,11.0,11.0,11.0,13.0,5.0
JNU,58033,58.35499954,-134.576004,21,-8,-9,America/Anchorage,United States,Juneau,USW00025309,1.1717453717858892,9.0,9.0,10.0,10.0,10.0,10.0,5.0
KTN,30578,55.35559845,-131.7140045,89,-8,-9,America/Anchorage,United States,Ketchikan,USW00025325,0.6020246813546795,8.0,8.0,8.0,8.0,9.0,8.0,4.0
YAK,9652,59.50329971,-139.6600037,33,-8,-9,America/Anchorage,United States,Yakutat,USW00025382,1.533754683911067,46.0,46.0,46.0,46.0,46.0,45.0,0.098
CDV,9652,60.4917984,-145.4779968,54,-8,-9,America/Anchorage,United States,Cordova,USW00026410,1.9530535002304648,8.0,8.0,8.0,9.0,9.0,9.0,4.0
SIT,16812,57.04710007,-135.3619995,21,-8,-9,America/Anchorage,United States,Sitka,USW00025379,2.435240188633282,46.0,46.0,46.0,46.0,46.0,46.0,0.098
WRG,9664,56.48429871,-132.3699951,49,-8,-9,America/Anchorage,United States,Wrangell,USW00025338,1.6319862553485187,6.0,6.0,6.0,6.0,6.0,9.0,4.0
PSG,9665,56.80170059,-132.9450073,111,-8,-9,America/Anchorage,United States,Petersburg,USW00025329,0.6450146567522987,8.0,7.0,9.0,9.0,9.0,8.0,4.0
OME,8742,64.5121994,-165.4450073,37,-8,-9,America/Anchorage,United States,Nome,USW00026617,0.2699542578290723,11.0,11.0,10.0,10.0,10.0,11.0,5.0
OTZ,8742,66.88469696,-162.598999,14,-8,-9,America/Anchorage,United States,Kotzebue,USW00026616,0.352205430064934,9.0,9.0,9.0,10.0,9.0,10.0,5.0
ADK,1392,51.87799835,-176.6459961,18,-9,-10,America/Adak,United States,Adak Island,USW00025704,0.6511411617019744,10.0,10.0,10.0,9.0,9.0,10.0,6.0
CSG,17706,32.5163002,-84.93890381,397,-4,-5,America/New_York,United States,Columbus,USW00093842,0.3099068821864434,8.0,7.0,8.0,8.0,7.0,7.0,3.0
BQK,12015,31.25880051,-81.46649933,26,-4,-5,America/New_York,United States,Brunswick,USW00053883,0.0396016210856608,15.0,15.0,16.0,16.0,16.0,15.0,7.0
VLD,12821,30.78249931,-83.27670288,203,-4,-5,America/New_York,United States,Valdosta,USW00093845,0.7274871404448149,8.0,8.0,8.0,8.0,8.0,8.0,4.0
ABY,12204,31.53549957,-84.19450378,197,-4,-5,America/New_York,United States,Albany,USW00013869,0.15849462349512827,8.0,7.0,7.0,7.0,7.0,7.0,3.0
BFF,8493,41.87400055,-103.5960007,3967,-6,-7,America/Denver,United States,Scottsbluff,USW00024028,0.4303808834226814,9.0,9.0,9.0,9.0,9.0,9.0,4.0
PSE,9543,18.00830078,-66.56300354,29,-4,-4,America/Puerto_Rico,Puerto Rico,Ponce,,,,,,,,,
ORH,16389,42.26729965,-71.8757019,1009,-4,-5,America/New_York,United States,Worcester,USW00094746,0.42482074620229443,9.0,9.0,8.0,8.0,8.0,4.0,0.119
SPS,13336,33.9888,-98.491898,1019,-5,-6,America/Chicago,United States,Wichita Falls,USW00013966,1.1359783737049576,8.0,8.0,8.0,7.0,7.0,8.0,4.0
ABI,25692,32.41130066,-99.68190002,1791,-5,-6,America/Chicago,United States,Abilene,USW00013962,0.0776990085025557,8.0,8.0,8.0,8.0,8.0,8.0,4.0
GGG,10675,32.38399887,-94.71150208,365,-5,-6,America/Chicago,United States,Longview,USW00003901,0.7872286521550956,7.0,7.0,7.0,7.0,7.0,7.0,4.0
GCK,9544,37.92750168,-100.723999,2891,-5,-6,America/Chicago,United States,Garden City,USW00023064,0.6220098657366783,7.0,7.0,7.0,7.0,6.0,7.0,3.0
ALO,8451,42.55709839,-92.40029907,873,-5,-6,America/Chicago,United States,Waterloo,USW00094910,0.3130875829901477,9.0,9.0,9.0,9.0,9.0,9.0,5.0
SPN,6016,15.119,145.729004,215,10,10,Pacific/Saipan,Northern Mariana Islands,Saipan,CQW00041418,1.346836523729887,7.0,7.0,6.0,6.0,7.0,7.0,3.0
ROP,302,14.17430019,145.2429962,607,10,10,Pacific/Saipan,Northern Mariana Islands,Rota,,,,,,,,,
HTS,17497,38.36669922,-82.55799866,828,-4,-5,America/New_York,United States,Huntington,USW00003860,0.3274616785986566,10.0,9.0,9.0,10.0,10.0,9.0,5.0
PGV,13936,35.6352005,-77.38529968,26,-4,-5,America/New_York,United States,Greenville,USW00013783,0.2779767183371245,14.0,14.0,14.0,15.0,15.0,15.0,
EWN,25070,35.07300186,-77.04290009,18,-4,-5,America/New_York,United States,New Bern,USW00093719,0.6869044489993016,9.0,8.0,8.0,8.0,8.0,8.0,4.0
ART,8990,43.9919014,-76.021698,325,-4,-5,America/New_York,United States,Watertown,USW00094790,0.5091742521099605,9.0,8.0,9.0,8.0,8.0,8.0,4.0
SBY,21252,38.34049988,-75.51029968,52,-4,-5,America/New_York,United States,Salisbury,USW00093720,0.264408927856441,8.0,8.0,8.0,8.0,8.0,8.0,4.0
IPT,4199,41.2417984,-76.9210968,529,-4,-5,America/New_York,United States,Williamsport,USW00014778,0.1531421934382213,9.0,9.0,8.0,9.0,8.0,8.0,0.128
FLO,12007,34.1853981,-79.72389984,146,-4,-5,America/New_York,United States,Florence,USW00013744,0.6896191664552751,8.0,7.0,8.0,8.0,7.0,7.0,0.111
HHH,29804,32.22439957,-80.69750214,19,-4,-5,America/New_York,United States,Hilton Head Island,USW00063837,0.8856837245959942,9.0,9.0,9.0,9.0,9.0,9.0,4.0
SFB,127847,28.77759933,-81.23750305,55,-4,-5,America/New_York,United States,Sanford,USW00012854,0.6279023775846152,7.0,7.0,7.0,7.0,7.0,7.0,3.0
PIE,102670,27.91020012,-82.68740082,11,-4,-5,America/New_York,United States,St. Petersburg,USW00092828,10.249682321996612,14.0,15.0,15.0,15.0,15.0,15.0,7.0
BLV,14811,38.5452,-89.835197,459,-5,-6,America/Chicago,United States,Belleville,USW00013802,1.3961334364039752,12.0,12.0,12.0,12.0,7.0,7.0,3.0
HGR,2635,39.707901,-77.72949982,703,-4,-5,America/New_York,United States,Hagerstown,USW00093706,0.21141008341056297,8.0,7.0,7.0,7.0,7.0,8.0,4.0
RFD,9934,42.19540024,-89.09719849,742,-5,-6,America/Chicago,United States,Rockford,USW00094822,0.3976339724010521,8.0,8.0,8.0,8.0,8.0,8.0,4.0
OWB,1087,37.74010086,-87.16680145,407,-5,-6,America/Chicago,United States,Owensboro,USW00053803,1.0987583405974388,7.0,7.0,7.0,7.0,7.0,7.0,3.0
PGD,77157,26.92020035,-81.9905014,26,-4,-5,America/New_York,United States,Punta Gorda,USW00012812,0.39785568457441767,7.0,7.0,7.0,7.0,8.0,7.0,3.0
USA,13737,35.387798,-80.709099,705,-4,-5,America/New_York,United States,Concord,USW00063801,0.27257646375780575,8.0,6.0,8.0,8.0,8.0,8.0,4.0
LCK,14081,39.813801,-82.927803,744,-4,-5,America/New_York,United States,Columbus,USW00013812,0.5702095225219704,15.0,14.0,5.0,5.0,5.0,5.0,2.0
AZA,75194,33.30780029,-111.6549988,1382,-7,-7,America/Phoenix,United States,Mesa,USW00023104,2.491558809451049,7.0,7.0,7.0,7.0,7.0,9.0,4.0
OGD,919,41.19589996,-112.012001,4473,-6,-7,America/Denver,United States,Ogden,USW00024101,9.582409873989487,8.0,8.0,7.0,7.0,7.0,7.0,4.0
PVU,15000,40.21920013,-111.7229996,4497,-6,-7,America/Denver,United States,Provo,,,,,,,,,
YNG,4,41.26070023,-80.67910004,1192,-4,-5,America/New_York,United States,Youngstown,USW00014852,0.8102631575718681,9.0,9.0,9.0,9.0,9.0,9.0,4.0
SCK,9285,37.89419937,-121.237999,33,-7,-8,America/Los_Angeles,United States,Stockton,USW00023237,1.1216885071192828,7.0,7.0,7.0,7.0,7.0,7.0,4.0
SMX,2330,34.89889908,-120.4570007,261,-7,-8,America/Los_Angeles,United States,Santa Maria,USW00023273,0.6814011281458737,8.0,9.0,9.0,9.0,8.0,9.0,4.0
PSM,4665,43.07789993,-70.82330322,100,-4,-5,America/New_York,United States,Portsmouth,,,,,,,,,
OGS,4422,44.68190002,-75.46549988,297,-4,-5,America/New_York,United States,Ogdensburg,USI0000KOGS,9.769977875374163e-06,13.0,14.0,14.0,14.0,14.0,14.0,7.0
STC,1824,45.54660034,-94.05989838,1031,-5,-6,America/Chicago,United States,Saint Cloud,USW00014926,0.693611552429713,8.0,8.0,8.0,8.0,8.0,8.0,0.126
TXK,14286,33.45370102,-93.99099731,390,-5,-6,America/Chicago,United States,Texarkana,USW00013977,0.39894638946950334,7.0,7.0,8.0,7.0,7.0,7.0,3.0
LBF,8591,41.12620163,-100.6839981,2777,-5,-6,America/Chicago,United States,North Platte,USW00024023,1.3549102219864366,10.0,10.0,9.0,10.0,9.0,10.0,4.0
LBL,7983,37.0442009,-100.9599991,2885,-5,-6,America/Chicago,United States,Liberal,,,,,,,,,
LWB,6033,37.85829926,-80.39949799,2302,-4,-5,America/New_York,United States,Lewisburg,USW00053801,0.9334765299067164,15.0,14.0,11.0,11.0,11.0,10.0,5.0
SHD,6760,38.26380157,-78.89640045,1201,-4,-5,America/New_York,United States,Weyers Cave,USW00093760,0.0223746014828485,15.0,15.0,15.0,15.0,15.0,15.0,7.0
SLN,9949,38.79100037,-97.65219879,1288,-5,-6,America/Chicago,United States,Salina,USW00003919,1.3965711583681018,7.0,7.0,7.0,7.0,6.0,6.0,3.0
CNY,7427,38.75500107,-109.7549973,4557,-6,-7,America/Denver,United States,Moab,,,,,,,,,
ACK,21718,41.25310135,-70.06020355,47,-4,-5,America/New_York,United States,Nantucket,USW00014756,0.16377972029275994,8.0,8.0,8.0,8.0,8.0,8.0,0.108
WYS,4056,44.68840027,-111.1179962,6649,-6,-7,America/Denver,United States,West Yellowstone,USW00094163,0.5760107146025603,16.0,15.0,13.0,8.0,7.0,7.0,2.0
MVY,11026,41.39310074,-70.61430359,67,-4,-5,America/New_York,United States,Vineyard Haven MA,USW00094724,0.1251497762726164,9.0,9.0,9.0,8.0,8.0,9.0,4.0
HYA,1808,41.66930008,-70.28040314,54,-4,-5,America/New_York,United States,Barnstable,USW00094720,0.9369311216568118,8.0,8.0,8.0,8.0,8.0,8.0,4.0
VEL,6677,40.4408989,-109.5100021,5278,-6,-7,America/Denver,United States,Vernal,USW00094030,0.340715417158898,6.0,7.0,6.0,6.0,6.0,7.0,3.0
BKG,967,36.532082,-93.200544,1302,-5,-6,America/Chicago,United States,Branson,USW00000207,0.123023384776482,8.0,9.0,9.0,9.0,9.0,9.0,4.0
GST,1224,58.4253006,-135.7070007,35,-8,-9,America/Anchorage,United States,Gustavus,USW00025380,1.0841067419757082,46.0,46.0,45.0,43.0,45.0,41.0,0.087
AKN,4440,58.67679977,-156.6490021,73,-8,-9,America/Anchorage,United States,King Salmon,USW00025503,1.1734412191870662,9.0,8.0,9.0,9.0,9.0,8.0,4.0
DLG,4280,59.04470062,-158.5050049,81,-8,-9,America/Anchorage,United States,Dillingham,USW00025513,0.8939093092258428,7.0,6.0,7.0,7.0,7.0,7.0,3.0
PQI,7248,46.68899918,-68.0447998,534,-4,-5,America/New_York,United States,Presque Isle,USW00014604,0.7480913243270547,8.0,8.0,7.0,8.0,8.0,8.0,3.0
PRC,8929,34.65449905,-112.4199982,5045,-7,-7,America/Phoenix,United States,Prescott,,,,,,,,,
EAR,6277,40.726667,-99.009167,650,-5,-6,America/Chicago,United States,Kearney,USW00014905,1.0687674257749977,7.0,7.0,7.0,7.0,6.0,6.0,3.0
CYS,4797,41.15570068,-104.8119965,6159,-6,-7,America/Denver,United States,Cheyenne,USW00024018,0.6504882938630278,17.0,17.0,16.0,15.0,14.0,15.0,4.0
DRT,5632,29.37420082,-100.927002,1002,-5,-6,America/Chicago,United States,Del Rio,USW00022010,0.4544691992590953,8.0,8.0,8.0,8.0,7.0,8.0,4.0
PAE,44553,47.90629959,-122.2819977,606,-7,-8,America/Los_Angeles,United States,Everett,USW00024222,1.8920478098329327,8.0,8.0,8.0,8.0,8.0,8.0,3.0
PIR,3727,44.38270187,-100.2860031,1744,-5,-6,America/Chicago,United States,Pierre,USW00024025,0.0945506231816184,8.0,8.0,7.0,7.0,7.0,8.0,4.0
ATY,3497,44.91400146,-97.15470123,1749,-5,-6,America/Chicago,United States,Watertown,USW00014946,1.146200003443223,8.0,9.0,7.0,8.0,8.0,8.0,4.0
BFM,409,30.62680054,-88.06809998,26,-5,-6,America/Chicago,United States,Mobile,USW00013838,1.424587742012288,8.0,7.0,8.0,8.0,7.0,7.0,0.109
XWA,13775,48.259722,-103.750556,604,-5,-6,America/Chicago,United States,Williston,,,,,,,,,
SHR,5883,44.76919937,-106.9800034,4021,-6,-7,America/Denver,United States,Sheridan,USW00024029,1.09047621074137,8.0,8.0,8.0,8.0,8.0,8.0,4.0
RIW,4575,43.06420136,-108.4599991,5525,-6,-7,America/Denver,United States,Riverton WY,USW00024061,1.41688328833252,7.0,7.0,6.0,7.0,6.0,7.0,0.11
DDC,5581,37.76340103,-99.96559906,2594,-5,-6,America/Chicago,United States,Dodge City,USW00013985,0.4098117379923504,10.0,10.0,10.0,9.0,9.0,9.0,4.0
